Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,161.025,-87.4625,0.0,top
C10,100n,C_0201_0603Metric,152.803905,-95.4,180.0,top
C11,100n,C_0201_0603Metric,155.303905,-95.4,0.0,top
C12,100n,C_0201_0603Metric,155.5,-88.3,0.0,top
C13,1u,C_0402_1005Metric,157.209999,-95.499999,0.0,top
C14,100n,C_0201_0603Metric,158.0,-97.9,180.0,top
C15,100n,C_0201_0603Metric,154.4,-101.9,180.0,top
C16,100n,C_0201_0603Metric,152.12,-101.2,180.0,top
C17,1u,C_0402_1005Metric,159.387503,-112.664328,90.0,top
C18,100n,C_0201_0603Metric,158.487501,-112.8,90.0,top
C19,1u,C_0402_1005Metric,157.967501,-110.5,0.0,top
C2,10u,C_0402_1005Metric,160.9,-93.3,0.0,top
C20,100n,C_0201_0603Metric,157.767503,-111.4,0.0,top
C21,1u,C_0402_1005Metric,151.687501,-119.3,180.0,top
C22,100n,C_0201_0603Metric,158.809685,-117.305026,45.0,top
C23,1u,C_0402_1005Metric,155.1,-109.38,90.0,top
C24,100n,C_0201_0603Metric,155.441459,-110.650001,0.0,top
C25,1u,C_0402_1005Metric,149.887502,-113.9,90.0,top
C26,100n,C_0201_0603Metric,150.787502,-114.080001,90.0,top
C27,1u,C_0402_1005Metric,157.687501,-119.400001,0.0,top
C28,100n,C_0201_0603Metric,157.487503,-118.5,0.0,top
C29,1u,C_0402_1005Metric,159.587501,-117.8,45.0,top
C3,1u,C_0402_1005Metric,160.115948,-111.121978,0.0,top
C30,100n,C_0201_0603Metric,151.8675,-118.399999,180.0,top
C4,1u,C_0402_1005Metric,158.800001,-108.3,90.0,top
C5,1u,C_0402_1005Metric,149.903906,-91.48,90.0,top
C6,10n,C_0201_0603Metric,150.803905,-91.679999,90.0,top
C7,10u,C_0402_1005Metric,155.903906,-97.899999,-90.0,top
C8,1u,C_0402_1005Metric,154.903905,-97.9,-90.0,top
C9,100n,C_0201_0603Metric,154.003906,-97.699999,-90.0,top
D1,1N4148W-TP,D_SOD-123,161.287501,-114.600001,-90.0,top
D2,ESD321,D_0402_1005Metric_TVS,156.5,-86.4,180.0,top
D3,ESD321,D_0402_1005Metric_TVS,159.4,-85.2,180.0,top
D4,ESD321,D_0402_1005Metric_TVS,154.6,-86.3,0.0,top
D5,FPGA_DONE_G,LED_0603_1608Metric,146.3,-115.9,-90.0,top
J1,USB4105-GF-A-060,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,156.0,-80.935,180.0,top
J2,LEFT,PinSocket_1x10_P2.54mm_Vertical,147.115,-99.98,0.0,top
J3,RIGHT,PinSocket_1x10_P2.54mm_Vertical,164.915,-99.96,0.0,top
L1,LQG15HZ2N0B02D,L_0402_1005Metric,153.103905,-96.8,90.0,top
R1,5k1,R_0402_1005Metric,157.3,-85.1,0.0,top
R2,5k1,R_0402_1005Metric,153.0,-85.1,180.0,top
R3,10k,R_0402_1005Metric,157.2,-96.5,0.0,top
R4,10k,R_0402_1005Metric,159.6,-97.4,-90.0,top
R5,10k,R_0402_1005Metric,161.3,-106.4,180.0,top
R6,10k,R_0402_1005Metric,156.8,-104.4,90.0,top
R7,10k,R_0402_1005Metric,147.6,-117.7,45.0,top
R8,10k,R_0402_1005Metric,153.646098,-119.350001,0.0,top
U1,MCP1727-3302xMF,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,160.5,-90.6125,-90.0,top
U2,MIC5365-1.2YC5,SOT-353_SC-70-5,160.7,-108.9,90.0,top
U3,ESP32-C6FH4,QFN50P500X500X90-33N,154.603905,-91.9,90.0,top
U4,W25Q80DVSNIG,SOIC127P600X175-8N,160.2,-102.1,90.0,top
U5,ICE40LP384-SG32,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,154.850003,-114.95,0.0,top
U6,PL133-27GC-R,SON40P200X130X60-7N-D,154.9,-103.9,90.0,top
Y1,ECS-TXO-32CSMV-400-BN-TR,ECSTXO32CSMV400BNTR,151.5,-103.6,-90.0,top
